Date,Text,Amount
23.07.2019,Selskabskapital,40000.00
07.08.2019,VISA/DANKORT gebyr,-150.00
22.08.2019,PADDLE.NET* FOLLOWLIKE\ \Lo...,-51.48
27.08.2019,FORGE.LARAVEL.COM,-130.72
03.09.2019,DIGITALOCEAN.COM,-36.06
04.09.2019,"VDK EUR    31,19",-236.10
06.09.2019,dinero.dk          d1j61,-293.75
18.09.2019,Lidl               36471,-55.45
26.09.2019,FORGE.LARAVEL.COM,-131.74
30.09.2019,Gebyrer ifølge nota,-2000.00
02.10.2019,DIGITALOCEAN.COM,-96.18
02.10.2019,ENVATOMARKET49426365,-426.71
02.10.2019,The Laundromat Caf )))) 57239,-78.00
02.10.2019,juno the bakery Ap )))) 41241,-75.00
04.10.2019,GOOGLE*GSUITE INFLUBOO\ \IN...,-236.52
07.10.2019,SPISESTUERNE )))) 20845,-9.36
07.10.2019,SPISESTUERNE )))) 89169,-10.00
08.10.2019,Money back vincent,173.00
09.10.2019,VISTAPR*VistaPrint.com\ \86...,-914.00
09.10.2019,dinero.dk          k8gki,-293.75
10.10.2019,Wolt Enterprises Oy\ \Helsi...,-329.00
10.10.2019,Godtgørelse gebyr,2000.00
14.10.2019,Adobe Stock,-275.00
16.10.2019,Adobe Stock,275.00
23.10.2019,Internet 123,-223.75
23.10.2019,Wulff & Konstali,9625.00
24.10.2019,HIKO PIZZA OG SANDWHICH  \ ...,-104.00
26.10.2019,For 123 internet,-110.00
29.10.2019,Lidl )))) 64856,-85.70
30.10.2019,Betal. 3825-0075161176,7736.32
30.10.2019,Invoice namotto.lab,-5970.00
04.11.2019,HIKO PIZZA OG SANDWHICH  \ ...,-52.00
05.11.2019,GOOGLE *GSUITE_influbo\ \cc...,-236.82
07.11.2019,FACEBK *5MZTHQ69Z2\ \fb.me/...,-150.00
08.11.2019,Spisestuerne ved Han,-40.00
11.11.2019,Wulff & Konstali,4950.00
14.11.2019,Transfer,6250.00
14.11.2019,lån tilbage,-20000.00
20.11.2019,HIKO PIZZA OG SANDWHICH  \ ...,-104.00
28.11.2019,lån tilbage,-20000.00
30.11.2019,payback,140.00
02.12.2019,Overførsel,41.90
03.12.2019,GOOGLE*ADS6706888664\ \INTE...,-50.00
03.12.2019,Lidl,-41.90
03.12.2019,Wolt Enterprises Oy,-140.00
04.12.2019,Transfer,7375.00
04.12.2019,GOOGLE *GSUITE_influbo\ \cc...,-236.80
10.12.2019,Wulff & Konstali,4950.00
16.12.2019,HIKO PIZZA OG SANDWHICH  \ ...,-114.00
16.12.2019,HIKO PIZZA OG SANDWHICH  \ ...,-30.00
02.01.2020,Wolt Enterprises Oy\ \Helsi...,-714.00
03.01.2020,GOOGLE *GSUITE_influbo\ \cc...,-190.82
07.01.2020,Wolt back Vincent,714.00
