"Dato";"Tekst";"Belob";"Saldo";"Status";"Afstemt"
"18.12.2019";"Norwegian Air Shuttl";"-639,38";"9.216,49";"Udført";"Nej"
"18.12.2019";"Transferwise";"-2.263,00";"6.953,49";"Udført";"Nej"
"19.12.2019";"norwegian.com 328733";"-363,34";"6.590,15";"Udført";"Nej"
"19.12.2019";"norwegian.com 328733";"-227,09";"6.363,06";"Udført";"Nej"
"23.12.2019";"Overførsel";"-3.000,00";"3.363,06";"Udført";"Nej"
"27.12.2019";"Fra Jan-Carl Alexand";"636,94";"4.000,00";"Udført";"Nej"
"27.12.2019";"Bar Mexico";"-136,51";"3.863,49";"Udført";"Nej"
"30.12.2019";"LØNOVERFØRSEL";"14.153,88";"18.017,37";"Udført";"Nej"
"02.01.2020";"Fitness World A/S";"-298,00";"17.719,37";"Udført";"Nej"
"02.01.2020";"Gjensidige Forsikring";"-161,68";"17.557,69";"Udført";"Nej"
"02.01.2020";"LAGARDERE T.R.DEUTSC";"-55,74";"17.501,95";"Udført";"Nej"
"02.01.2020";"On The Rocks";"-85,07";"17.416,88";"Udført";"Nej"
"02.01.2020";"Pronto Cafe";"-37,43";"17.379,45";"Udført";"Nej"
"02.01.2020";"Urban Airport";"-263,74";"17.115,71";"Udført";"Nej"
"02.01.2020";"PAG*Giovanna";"-92,58";"17.023,13";"Udført";"Nej"
"02.01.2020";"Bobs Ipanema";"-46,67";"16.976,46";"Udført";"Nej"
"03.01.2020";"Rent Jan 2020";"-4.300,00";"12.676,46";"Udført";"Nej"
"06.01.2020";"Carioca Da Gema";"-74,65";"12.601,81";"Udført";"Nej"
"06.01.2020";"Celular Station";"-25,56";"12.576,25";"Udført";"Nej"
"06.01.2020";"PAG*Giovanna";"-144,88";"12.431,37";"Udført";"Nej"
"06.01.2020";"Sarau";"-34,08";"12.397,29";"Udført";"Nej"
"06.01.2020";"Belmonte Lapa";"-47,73";"12.349,56";"Udført";"Nej"
"07.01.2020";"Hortifruti";"-13,75";"12.335,81";"Udført";"Nej"
"07.01.2020";"Hostel Ipanema";"-3.162,60";"9.173,21";"Udført";"Nej"
"07.01.2020";"Metro Rj";"-31,37";"9.141,84";"Udført";"Nej"
"07.01.2020";"STAR 019";"-19,60";"9.122,24";"Udført";"Nej"
"10.01.2020";"Britt Brasil Comerci";"-40,70";"9.081,54";"Udført";"Nej"
"11.01.2020";"Coffee Lounge 18182341";"-69,28";"";"Venter";"Nej"
"11.01.2020";"Starbucks";"-34,77";"";"Venter";"Nej"
"11.01.2020";"Warren Bakery 181823";"-22,89";"";"Venter";"Nej"
"11.01.2020";"Spisestuerne";"-13,00";"";"Venter";"Nej"
"11.01.2020";"Spisestuerne";"-22,50";"";"Venter";"Nej"
"11.01.2020";"Lidl";"-201,15";"";"Venter";"Nej"
